school_id,school_name_minkou,address_minkou,gaccom_id,school_name_gaccom,address_gaccom,addr_score,name_score,match_score
29216,千城台西小学校,千葉県 千葉市若葉区 千城台西２－２１－１ ここに地図が表示されます 地図を見る 地図を閉じる,10227,千葉市立千城台東小学校,千葉県千葉市若葉区千城台東１-１５-１,0.769,0.75,0.763
29839,日吉台小学校,千葉県 富里市 日吉台４－２１ ここに地図が表示されます 地図を見る 地図を閉じる,10854,富里市立日吉台小学校,千葉県富里市日吉台４丁目２１番地,0.75,1.0,0.825
29222,大宮台小学校,千葉県 千葉市若葉区 大宮町２０８２ ここに地図が表示されます 地図を見る 地図を閉じる,10220,千葉市立大宮小学校,千葉県千葉市若葉区大宮台７-８-１,0.571,0.8,0.64
29215,千城台南小学校,千葉県 千葉市若葉区 千城台南１－１９－１ ここに地図が表示されます 地図を見る 地図を閉じる,10227,千葉市立千城台東小学校,千葉県千葉市若葉区千城台東１-１５-１,0.846,0.75,0.817
29250,【閉校】幸町第二小学校,千葉県 千葉市美浜区 幸町２－９－４ ここに地図が表示されます 地図を見る 地図を閉じる,86025,千葉市立幸町小学校,千葉県千葉市美浜区幸町2-12-12,0.727,0.4,0.629
29251,【閉校】幸町第一小学校,千葉県 千葉市美浜区 幸町２－１７－４ ここに地図が表示されます 地図を見る 地図を閉じる,86025,千葉市立幸町小学校,千葉県千葉市美浜区幸町2-12-12,0.783,0.4,0.668
29990,光風台三育小学校,千葉県 市原市 光風台２－５３５ ここに地図が表示されます 地図を見る 地図を閉じる,11007,三育学院大学付属光風台三育小学校,千葉県市原市光風台２の５３５,0.778,0.556,0.711
28485,妻沼南小学校,埼玉県 熊谷市 弥藤吾７０４ ここに地図が表示されます 地図を見る 地図を閉じる,105630,熊谷市立妻沼西小学校,埼玉県熊谷市藤吾７０４番地,0.833,0.667,0.783
28516,並木小学校,埼玉県 川口市 並木１－２４－１ ここに地図が表示されます 地図を見る 地図を閉じる,8697,川口市立並木小学校,埼玉県川口市並木１丁目２４番１号,0.706,1.0,0.794
29090,つばさ北小学校,埼玉県 比企郡川島町 畑中３１ ここに地図が表示されます 地図を見る 地図を閉じる,105633,川島町立つばさ小学校,埼玉県比企郡川島町白井沼２３０,0.5,0.857,0.607
29091,つばさ南小学校,埼玉県 比企郡川島町 白井沼９４５ ここに地図が表示されます 地図を見る 地図を閉じる,105633,川島町立つばさ小学校,埼玉県比企郡川島町白井沼２３０,0.667,0.857,0.724
28465,大塚小学校,埼玉県 川越市 大塚２－１０－１ ここに地図が表示されます 地図を見る 地図を閉じる,8669,川口市立飯塚小学校,埼玉県川口市飯塚２-１１-１,0.75,0.5,0.675
28445,川越小学校,埼玉県 川越市 郭町１－１－１ ここに地図が表示されます 地図を見る 地図を閉じる,8972,越谷市立川柳小学校,埼玉県越谷市川柳町１-４７１-１,0.706,0.5,0.644
28529,前川小学校,埼玉県 川口市 前川町４－１８０ ここに地図が表示されます 地図を見る 地図を閉じる,8705,川口市立前川東小学校,埼玉県川口市前上町１０番１号,0.533,0.8,0.613
28508,本町小学校,埼玉県 川口市 本町２－４－６ ここに地図が表示されます 地図を見る 地図を閉じる,8703,川口市立本町小学校,埼玉県川口市本町２丁目４番６号,0.667,1.0,0.767
28444,中央小学校,埼玉県 川越市 中原町１－２５ ここに地図が表示されます 地図を見る 地図を閉じる,8746,所沢市立北中小学校,埼玉県所沢市北中１-２５０,0.714,0.5,0.65
28573,南小学校,埼玉県 秩父市 野坂町２－１４－２９ ここに地図が表示されます 地図を見る 地図を閉じる,8729,秩父市立南小学校,埼玉県秩父市野坂町２丁目１４番２９号,0.762,1.0,0.833
28770,東町小学校,埼玉県 上尾市 東町３－１９４７ ここに地図が表示されます 地図を見る 地図を閉じる,8923,上尾市立東町小学校,埼玉県上尾市東町３丁目１９４７番地,0.778,1.0,0.844
28784,青柳小学校,埼玉県 草加市 青柳３－１７－１ ここに地図が表示されます 地図を見る 地図を閉じる,8961,草加市立青柳小学校,埼玉県草加市青柳３丁目１７番１号,0.706,1.0,0.794
28798,栄小学校,埼玉県 草加市 松原１－３－２ ここに地図が表示されます 地図を見る 地図を閉じる,8948,草加市立栄小学校,埼玉県草加市松原１丁目３番２号,0.667,1.0,0.767
28785,川柳小学校,埼玉県 草加市 青柳７－２７－１０ ここに地図が表示されます 地図を見る 地図を閉じる,8949,草加市立川柳小学校,埼玉県草加市青柳７丁目２７番１０号,0.737,1.0,0.816
94912,桜小学校,埼玉県 坂戸市 泉町３－２８－７ ここに地図が表示されます 地図を見る 地図を閉じる,86134,坂戸市立桜小学校,埼玉県坂戸市泉町３丁目２８番地７,0.706,1.0,0.794
28956,八幡小学校,埼玉県 八潮市 中央４－２１－１６ ここに地図が表示されます 地図を見る 地図を閉じる,9118,八潮市立八幡小学校,埼玉県八潮市中央４丁目２１番地１６,0.737,1.0,0.816
28973,桜小学校,埼玉県 三郷市 彦成４－５－１６ ここに地図が表示されます 地図を見る 地図を閉じる,9143,三郷市立桜小学校,埼玉県三郷市彦成４丁目５番１６号,0.706,1.0,0.794
28986,新和小学校,埼玉県 三郷市 中央２－２８－１２ ここに地図が表示されます 地図を見る 地図を閉じる,9145,三郷市立新和小学校,埼玉県三郷市中央二丁目２８番地１２,0.632,1.0,0.742
29111,長瀞第二小学校,埼玉県 秩父郡長瀞町 野上下郷９２０－１ ここに地図が表示されます 地図を見る 地図を閉じる,9271,長瀞町立長瀞第一小学校,埼玉県秩父郡長瀞町本野上６００-１,0.696,0.75,0.712
29002,南小学校,埼玉県 坂戸市 千代田４－８－１ ここに地図が表示されます 地図を見る 地図を閉じる,9176,坂戸市立南小学校,埼玉県坂戸市千代田４丁目８番地１,0.706,1.0,0.794
29086,東小川小学校,埼玉県 比企郡小川町 東小川２－２１ ここに地図が表示されます 地図を見る 地図を閉じる,9241,小川町立小川小学校,埼玉県比企郡小川町小川３７７,0.556,0.8,0.629
35248,八幡小学校,愛知県 瀬戸市 八幡台３－１ ここに地図が表示されます 地図を見る 地図を閉じる,24584,瀬戸市立八幡小学校,愛知県瀬戸市八幡台３丁目１番地,0.714,1.0,0.8
35810,東栄小学校,愛知県 北設楽郡東栄町 本郷字東万場１ ここに地図が表示されます 地図を見る 地図を閉じる,25074,東栄町立東栄小学校,愛知県北設楽郡東栄町大字本郷字上桜平２８－１,0.56,1.0,0.692
34958,常磐小学校,愛知県 名古屋市中川区 小本１－１５－２ ここに地図が表示されます 地図を見る 地図を閉じる,25254,名古屋市立常磐小学校,愛知県名古屋市中川区小本一丁目１５-２,0.783,1.0,0.848
35060,大高南小学校,愛知県 名古屋市緑区 大高町字阿原３５ ここに地図が表示されます 地図を見る 地図を閉じる,25428,名古屋市立大高北小学校,愛知県名古屋市緑区大高町字町屋川１,0.6,0.667,0.62
35113,つつじが丘小学校,愛知県 豊橋市 佐藤５－１６－１ ここに地図が表示されます 地図を見る 地図を閉じる,24844,豊橋市立つつじが丘小学校,愛知県豊橋市佐藤五丁目１６-１,0.706,1.0,0.794
